Fabricante,Campaña SARS-CoV-2 (AstraZeneca),CanSino,Campaña SARS-CoV-2 (Pfizer),Campaña SARS-CoV-2 (Sinovac)
2021-05-31,3970.0,0.0,14068.0,41655.0
2021-06-01,4757.0,0.0,14656.0,52242.0
2021-06-02,3557.0,0.0,8306.0,59968.0
2021-06-03,664.0,0.0,6987.0,60958.0
2021-06-04,539.0,0.0,5650.0,62293.0
2021-06-05,111.0,0.0,1341.0,11617.0
2021-06-06,5.0,0.0,98.0,1129.0
2021-06-07,642.0,0.0,7213.0,92267.0
2021-06-08,532.0,0.0,8241.0,95744.0
2021-06-09,539.0,0.0,6174.0,93675.0
2021-06-10,488.0,0.0,6495.0,86675.0
2021-06-11,449.0,0.0,8390.0,85533.0
2021-06-12,113.0,0.0,1061.0,8231.0
2021-06-13,5.0,0.0,68.0,524.0
2021-06-14,397.0,0.0,27832.0,84275.0
2021-06-15,336.0,0.0,47657.0,74055.0
2021-06-16,423.0,0.0,59090.0,57917.0
2021-06-17,381.0,0.0,53780.0,55905.0
2021-06-18,524.0,0.0,20758.0,22169.0
2021-06-19,78.0,0.0,8350.0,11452.0
2021-06-20,5.0,0.0,782.0,1361.0
2021-06-21,91.0,0.0,5737.0,6518.0
2021-06-22,1358.0,0.0,88185.0,116008.0
2021-06-23,1772.0,0.0,61322.0,100665.0
2021-06-24,2840.0,0.0,50046.0,88365.0
2021-06-25,3485.0,0.0,39793.0,79719.0
2021-06-26,957.0,0.0,11257.0,19540.0
2021-06-27,81.0,0.0,1285.0,2016.0
2021-06-28,115.0,0.0,1605.0,1419.0
2021-06-29,4879.0,0.0,98819.0,73935.0
2021-06-30,3417.0,0.0,87724.0,42907.0
2021-07-01,2415.0,0.0,51223.0,28283.0
2021-07-02,2043.0,0.0,34624.0,28243.0
2021-07-03,394.0,0.0,8358.0,10252.0
2021-07-04,50.0,0.0,1025.0,1029.0
2021-07-05,2935.0,0.0,48293.0,45723.0
2021-07-06,2822.0,0.0,27963.0,48252.0
2021-07-07,2568.0,0.0,21485.0,59513.0
2021-07-08,1818.0,0.0,19749.0,73199.0
2021-07-09,1774.0,0.0,19911.0,63334.0
2021-07-10,435.0,0.0,5819.0,15601.0
2021-07-11,43.0,0.0,912.0,1587.0
2021-07-12,1975.0,0.0,39411.0,85123.0
2021-07-13,1324.0,0.0,24739.0,74944.0
2021-07-14,1115.0,0.0,21652.0,82730.0
2021-07-15,1326.0,0.0,20044.0,69204.0
2021-07-16,26.0,0.0,910.0,1667.0
2021-07-17,126.0,0.0,3657.0,9680.0
2021-07-18,0.0,0.0,495.0,707.0
2021-07-19,1079.0,0.0,25757.0,46265.0
2021-07-20,1149.0,0.0,52335.0,39024.0
2021-07-21,1658.0,0.0,37753.0,30700.0
2021-07-22,1782.0,0.0,17748.0,21443.0
2021-07-23,3193.0,0.0,38545.0,14965.0
2021-07-24,502.0,0.0,5218.0,4431.0
2021-07-25,11.0,0.0,428.0,421.0
2021-07-26,2580.0,0.0,25944.0,11848.0
2021-07-27,2562.0,0.0,29593.0,8882.0
2021-07-28,1601.0,0.0,19885.0,6103.0
2021-07-29,1354.0,0.0,74969.0,4889.0
2021-07-30,1351.0,0.0,63074.0,3732.0
2021-07-31,331.0,0.0,8505.0,1301.0
2021-08-01,1.0,0.0,370.0,64.0
2021-08-02,786.0,0.0,5331.0,17580.0
2021-08-03,899.0,0.0,5545.0,18948.0
2021-08-04,1585.0,0.0,56963.0,1187.0
2021-08-05,1220.0,0.0,40800.0,858.0
2021-08-06,1033.0,0.0,29745.0,775.0
2021-08-07,10.0,0.0,842.0,59.0
2021-08-08,0.0,0.0,13.0,9.0
2021-08-09,360.0,0.0,7234.0,13632.0
2021-08-10,312.0,0.0,7570.0,11591.0
2021-08-11,1777.0,0.0,113883.0,2192.0
2021-08-12,1454.0,0.0,74147.0,3728.0
2021-08-13,715.0,0.0,46293.0,2084.0
2021-08-14,17.0,0.0,886.0,104.0
2021-08-15,2.0,0.0,82.0,116.0
2021-08-16,761.0,0.0,4161.0,17059.0
2021-08-17,771.0,0.0,4255.0,18724.0
2021-08-18,1176.0,0.0,73237.0,2631.0
2021-08-19,893.0,0.0,56461.0,1870.0
2021-08-20,932.0,0.0,51631.0,2008.0
2021-08-21,22.0,0.0,1388.0,407.0
2021-08-22,3.0,0.0,130.0,63.0
2021-08-23,1725.0,0.0,3842.0,19244.0
2021-08-24,1223.0,0.0,2979.0,13735.0
2021-08-25,1069.0,0.0,4191.0,8333.0
2021-08-26,387.0,0.0,78085.0,1197.0
2021-08-27,359.0,0.0,50935.0,1179.0
2021-08-28,21.0,0.0,991.0,125.0
2021-08-29,3.0,0.0,87.0,76.0
2021-08-30,1436.0,0.0,2231.0,73503.0
2021-08-31,1489.0,0.0,1770.0,87020.0
2021-09-01,366.0,0.0,28867.0,3997.0
2021-09-02,267.0,0.0,20806.0,2464.0
2021-09-03,234.0,0.0,14559.0,1995.0
2021-09-04,15.0,0.0,232.0,234.0
2021-09-05,0.0,0.0,16.0,18.0
2021-09-06,680.0,0.0,919.0,57588.0
2021-09-07,624.0,0.0,981.0,59520.0
2021-09-08,174.0,0.0,12281.0,2730.0
2021-09-09,149.0,0.0,8282.0,2570.0
2021-09-10,134.0,0.0,6983.0,1844.0
2021-09-11,11.0,0.0,144.0,260.0
2021-09-12,4.0,0.0,13.0,14.0
2021-09-13,326.0,0.0,3923.0,34445.0
2021-09-14,298.0,0.0,4049.0,34343.0
2021-09-15,161.0,0.0,4772.0,10349.0
2021-09-16,91.0,0.0,2818.0,5003.0
2021-09-17,0.0,0.0,29.0,20.0
2021-09-18,0.0,0.0,0.0,4.0
2021-09-19,0.0,0.0,0.0,2.0
2021-09-20,1015.0,0.0,3033.0,18370.0
2021-09-21,1093.0,0.0,3054.0,19417.0
2021-09-22,765.0,0.0,3045.0,13543.0
2021-09-23,341.0,0.0,3076.0,7319.0
2021-09-24,220.0,0.0,3225.0,5770.0
2021-09-25,1.0,0.0,99.0,170.0
2021-09-26,0.0,0.0,1.0,21.0
2021-09-27,824.0,0.0,2624.0,13896.0
2021-09-28,944.0,0.0,2998.0,15628.0
2021-09-29,396.0,0.0,3101.0,7575.0
2021-09-30,232.0,0.0,2776.0,5491.0
2021-10-01,171.0,0.0,2502.0,4494.0
2021-10-02,8.0,0.0,109.0,194.0
2021-10-03,2.0,0.0,19.0,36.0
2021-10-04,803.0,0.0,2382.0,11840.0
2021-10-05,737.0,0.0,2076.0,12669.0
2021-10-06,225.0,0.0,1877.0,5040.0
2021-10-07,157.0,0.0,1719.0,4032.0
2021-10-08,182.0,0.0,1583.0,3749.0
2021-10-09,9.0,0.0,70.0,168.0
2021-10-10,0.0,0.0,1.0,20.0
2021-10-11,1.0,0.0,13.0,262.0
2021-10-12,746.0,0.0,2009.0,62540.0
2021-10-13,406.0,0.0,1853.0,51047.0
2021-10-14,321.0,0.0,1611.0,30392.0
