Fabricante,Campaña SARS-CoV-2 (AstraZeneca),CanSino,Campaña SARS-CoV-2 (Pfizer),Campaña SARS-CoV-2 (Sinovac)
2021-10-12,572.0,0.0,2943.0,54361.0
2021-10-13,511.0,0.0,2611.0,54835.0
2021-10-14,420.0,0.0,2448.0,46795.0
2021-10-15,347.0,0.0,2460.0,37206.0
2021-10-16,34.0,0.0,151.0,1644.0
2021-10-17,2.0,0.0,29.0,73.0
2021-10-18,503.0,0.0,2945.0,36202.0
2021-10-19,532.0,0.0,2815.0,41983.0
2021-10-20,387.0,0.0,2575.0,36709.0
2021-10-21,411.0,0.0,2554.0,33259.0
2021-10-22,350.0,0.0,2527.0,26860.0
2021-10-23,17.0,0.0,164.0,1220.0
2021-10-24,2.0,0.0,17.0,109.0
2021-10-25,586.0,0.0,2877.0,31235.0
2021-10-26,533.0,0.0,2651.0,29300.0
2021-10-27,472.0,0.0,2695.0,28653.0
2021-10-28,465.0,0.0,2835.0,26288.0
2021-10-29,383.0,0.0,2763.0,21679.0
2021-10-30,31.0,0.0,285.0,2060.0
2021-10-31,3.0,0.0,35.0,224.0
2021-11-01,3.0,0.0,45.0,147.0
2021-11-02,482.0,0.0,3308.0,22343.0
2021-11-03,347.0,0.0,3109.0,23222.0
2021-11-04,270.0,0.0,2709.0,22551.0
2021-11-05,200.0,0.0,2804.0,20766.0
2021-11-06,20.0,0.0,288.0,2505.0
2021-11-07,5.0,0.0,44.0,157.0
2021-11-08,206.0,0.0,3293.0,20239.0
2021-11-09,127.0,0.0,3264.0,18930.0
2021-11-10,93.0,0.0,2984.0,16789.0
2021-11-11,82.0,0.0,2900.0,14871.0
2021-11-12,79.0,0.0,3019.0,14927.0
2021-11-13,15.0,0.0,511.0,2394.0
2021-11-14,3.0,0.0,51.0,151.0
2021-11-15,146.0,0.0,4079.0,15684.0
2021-11-16,148.0,0.0,3743.0,14351.0
2021-11-17,130.0,0.0,3336.0,12365.0
2021-11-18,85.0,0.0,2903.0,11009.0
2021-11-19,79.0,0.0,2929.0,9711.0
2021-11-20,14.0,0.0,455.0,1151.0
